ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,neighborhood
11824091,JC428303,09/10/2019 11:55:00 PM,065XX S MAY ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,RESIDENCE PORCH/HALLWAY,False,False,724,7,16,68,15,1169774.0,1861481.0,2019,09/17/2019 03:49:10 PM,41.77540242,-87.653178232,"(41.77540242, -87.653178232)",Englewood
11824121,JC428304,09/10/2019 11:50:00 PM,0000X N LECLAIRE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1533,15,28,25,08B,1142386.0,1899699.0,2019,09/17/2019 03:49:10 PM,41.880828867,-87.752633786,"(41.880828867, -87.752633786)",Austin
11824149,JC428308,09/10/2019 11:50:00 PM,009XX W 79TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,True,False,621,6,17,71,26,1171263.0,1852448.0,2019,09/17/2019 03:49:10 PM,41.750582291,-87.647983571,"(41.750582291, -87.647983571)",Auburn Gresham
11824152,JC428300,09/10/2019 11:47:00 PM,078XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,612,6,17,71,14,1170674.0,1852835.0,2019,09/17/2019 03:49:10 PM,41.751657125,-87.650130681,"(41.751657125, -87.650130681)",Auburn Gresham
11828245,JC433183,09/10/2019 11:45:00 PM,032XX W CORTLAND ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1421,14,1,22,08A,1154592.0,1912447.0,2019,09/18/2019 03:41:04 PM,41.915575188,-87.707472499,"(41.915575188, -87.707472499)",Logan Square
11824113,JC428298,09/10/2019 11:42:00 PM,010XX N LAMON AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,1531,15,37,25,08A,1143501.0,1906649.0,2019,09/17/2019 03:49:10 PM,41.899879709,-87.748365563,"(41.899879709, -87.748365563)",Austin
11825255,JC429591,09/10/2019 11:41:00 PM,077XX S SOUTH SHORE DR,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,False,True,421,4,7,43,26,1197175.0,1854844.0,2019,09/07/2021 03:41:02 PM,41.756551463,-87.552951751,"(41.756551463, -87.552951751)",South Shore
11824118,JC428309,09/10/2019 11:35:00 PM,018XX E 95TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,True,False,413,4,8,51,26,1189958.0,1842338.0,2019,09/17/2019 03:49:10 PM,41.722410409,-87.579801505,"(41.722410409, -87.579801505)",South Deering
11824122,JC428294,09/10/2019 11:33:00 PM,021XX N LOCKWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,True,True,2515,25,36,19,08B,1140705.0,1913714.0,2019,09/17/2019 03:49:10 PM,41.919318726,-87.758461528,"(41.919318726, -87.758461528)",Belmont Cragin
11824756,JC429063,09/10/2019 11:30:00 PM,079XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),False,False,612,6,21,71,14,1168380.0,1851969.0,2019,09/17/2019 03:49:10 PM,41.749330381,-87.658562005,"(41.749330381, -87.658562005)",Auburn Gresham
11824162,JC428332,09/10/2019 11:30:00 PM,003XX N AUSTIN BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,1512,15,29,25,03,1136321.0,1901669.0,2019,09/17/2019 03:49:10 PM,41.886345263,-87.774857276,"(41.886345263, -87.774857276)",Austin
11824127,JC428314,09/10/2019 11:30:00 PM,012XX W RANDOLPH ST,0810,THEFT,OVER $500,STREET,False,False,1224,12,27,28,06,1168152.0,1901083.0,2019,09/17/2019 03:49:10 PM,41.884109287,-87.657983005,"(41.884109287, -87.657983005)",West Loop
11824148,JC428311,09/10/2019 11:30:00 PM,017XX N MONTICELLO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2535,25,26,22,08B,1151777.0,1911309.0,2019,09/17/2019 03:49:10 PM,41.912508317,-87.717844634,"(41.912508317, -87.717844634)",Humboldt Park
11824158,JC428322,09/10/2019 11:20:00 PM,062XX N HOYNE AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,True,False,2413,24,50,2,26,1161192.0,1941365.0,2019,09/17/2019 03:49:10 PM,41.994792978,-87.68241768,"(41.994792978, -87.68241768)",West Ridge
11826397,JC430895,09/10/2019 11:17:00 PM,078XX S WESTERN AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,PARKING LOT/GARAGE(NON.RESID.),False,False,835,8,18,70,11,1161742.0,1852503.0,2019,09/17/2019 03:49:10 PM,41.750936036,-87.682871596,"(41.750936036, -87.682871596)",Ashburn
