trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,start_neighborhood,end_neighborhood
7785305,2015,10,40,6,15,Subscriber,Male,2015-10-04 15:33:00,2015-10-04 15:48:00,15.233333333333333,55.9,cloudy,97,Museum Campus,41.865212,-87.61775899999998,35.0,195,Columbus Dr & Randolph St,41.884728,-87.61952099999998,31.0,Museum Campus,Loop
4592776,2015,3,11,0,19,Subscriber,Female,2015-03-09 19:44:00,2015-03-09 19:53:00,9.5,42.1,cloudy,287,Franklin St & Arcade Pl,41.881469,-87.635177,27.0,74,Kingsbury St & Erie St,41.89384315,-87.64185116,23.0,Loop,River North
15109454,2017,7,28,3,8,Subscriber,Male,2017-07-13 08:42:20,2017-07-13 08:58:01,15.683333333333334,75.9,cloudy,58,Marshfield Ave & Cortland St,41.916017,-87.668879,23.0,46,Wells St & Walton St,41.89993001,-87.63443007,19.0,Bucktown,River North
5300219,2015,5,21,5,20,Subscriber,Female,2015-05-23 20:10:00,2015-05-23 20:18:00,8.4,69.1,cloudy,2,Michigan Ave & Balbo Ave,41.872293,-87.624091,35.0,41,Federal St & Polk St,41.87207763,-87.62954377,19.0,Grant Park,Printers Row
11465785,2016,8,34,0,17,Subscriber,Male,2016-08-22 17:47:15,2016-08-22 18:11:22,24.116666666666667,75.9,cloudy,272,Indiana Ave & 31st St,41.838842,-87.62185699999998,11.0,418,Ellis Ave & 53rd St,41.79933626,-87.60095811,11.0,Douglas,Hyde Park
3756046,2014,9,39,5,6,Subscriber,Male,2014-09-27 06:16:00,2014-09-27 06:38:00,22.1,55.9,cloudy,229,Southport Ave & Roscoe St,41.943739,-87.66402,19.0,128,Damen Ave & Chicago Ave,41.895769,-87.67721999999998,15.0,Lake View,West Town
4657812,2015,3,12,1,16,Subscriber,Female,2015-03-17 16:45:00,2015-03-17 17:07:00,21.5,43.0,cloudy,98,LaSalle St & Washington St,41.882664,-87.63253,15.0,143,Sedgwick St & Webster Ave,41.922167,-87.638888,15.0,Loop,Lincoln Park
17315991,2017,11,47,1,22,Subscriber,Male,2017-11-21 22:38:00,2017-11-21 22:41:00,3.083333333333333,28.0,cloudy,22,May St & Taylor St,41.8694821,-87.6554864,15.0,19,Loomis St & Taylor St (*),41.869417,-87.660996,16.0,"Little Italy, UIC","Little Italy, UIC"
9864994,2016,6,22,3,18,Subscriber,Female,2016-06-02 18:03:00,2016-06-02 18:17:00,14.2,77.0,cloudy,88,May St & Randolph St,41.88397,-87.655688,15.0,134,Peoria St & Jackson Blvd,41.877749,-87.649633,19.0,West Loop,West Loop
10562717,2016,7,27,3,17,Subscriber,Male,2016-07-07 17:17:39,2016-07-07 17:39:37,21.966666666666665,79.0,rain or snow,332,Halsted St & Diversey Pkwy,41.933666,-87.64895899999998,20.0,21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15.0,Lake View,West Loop
11905799,2016,9,37,4,7,Subscriber,Female,2016-09-16 07:16:07,2016-09-16 07:20:36,4.483333333333333,68.0,cloudy,290,Kedzie Ave & Palmer Ct,41.921525,-87.70732199999998,15.0,123,California Ave & Milwaukee Ave,41.922695,-87.697153,15.0,Logan Square,Logan Square
17525398,2017,12,51,5,13,Subscriber,Female,2017-12-23 13:48:00,2017-12-23 13:58:00,10.25,28.0,cloudy,331,Halsted St & Blackhawk St (*),41.908537,-87.648627,20.0,144,Larrabee St & Webster Ave,41.921822,-87.64414000000002,19.0,River North,Lincoln Park
13853547,2017,5,18,1,8,Subscriber,Male,2017-05-02 08:56:52,2017-05-02 09:17:54,21.03333333333333,43.0,cloudy,20,Sheffield Ave & Kingsbury St,41.910522,-87.65310600000002,15.0,264,Stetson Ave & South Water St,41.886835,-87.62232,19.0,River North,Loop
